cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
-1.1238321,-41.3068,24.176563,16.68039,-8.141647,-45.18492,-0.27983856,-0.791222,-1.5770197,1.1909963,21.052464,-18.26254,-44.73666,23.083107,2.2336621,0.15672588,1.9695454,18.353548,23.032692,-33.998817,49.726418,-0.24042498,0.12569064,0.062539056,226.5205,-205.06255,511.67322,180.64684,-234.30151,452.17334,0.81050897,-0.62305224,2.3415737,250.37886,-196.09702,544.9744,0.019197095,-2.730941,0.67969966,248.53577,-184.78908,537.8719,0.8439606,2.5709844,0.49636757,8801
10.080912,12.751536,24.454739,19.532042,17.268074,9.51318,48.61757,-1.9940197,-1.5546365,-2.9162807,21.638926,29.381577,-20.619356,6.538265,-0.59007543,0.11611114,-0.6390014,25.491016,-16.406918,49.360786,18.208382,1.0940472,-0.9683301,-0.84030354,-182.01624,-402.15674,-719.70154,-175.47336,-369.13528,-734.7271,-8.184506,-9.541059,5.212381,-173.33292,-367.7319,-735.34546,7.2937307,6.9318514,-6.880273,-197.2424,-469.60303,-689.0321,-0.85504335,-0.6346502,-1.7706307,10711
-21.401352,0.41941452,18.565735,26.702042,-23.013699,-35.72996,29.992767,-1.6984951,0.10337353,-0.3025713,23.142689,-43.398983,-5.862152,-12.203182,-0.80749774,1.3735472,-2.174253,12.043482,2.2086258,42.850357,37.907616,0.93703556,-1.911519,-2.3399377,-30.034817,-2.9618363,-5.5354586,-49.022495,-28.563217,20.084599,-1.6872196,0.81154895,-1.0005863,-52.00458,11.205153,-37.278744,-0.3865779,0.91826844,-1.2259277,10.922627,8.472554,0.58777064,0.10319938,-2.6067796,-2.614637,299
-12.323133,-1.79816,-11.137825,17.026375,30.271439,15.019379,46.577103,0.2191194,1.0512419,1.017289,12.177242,-42.42437,-1.0069199,-46.13073,-1.3618729,-1.7251683,-0.34319356,12.493034,-24.816465,-19.406939,-33.859848,0.5485366,-1.0392516,-0.8755607,-219.20476,-703.7143,6.2613935,-158.21284,670.0536,577.8791,-0.15102422,0.35264832,0.31176764,-262.34784,-1385.6085,-282.6203,-0.29855075,-1.7963274,0.47245964,-237.05359,-1395.5879,-276.4746,0.0165299,-0.017810635,-0.70905995,28461
-13.77328,-2.0901515,13.743217,29.803474,25.95137,13.5308075,15.235786,0.2996797,0.018786551,0.5905644,26.352383,-30.499792,26.516335,-22.13415,-2.2973447,0.75932443,-0.084160075,25.562986,-36.771416,-46.317596,48.128014,-0.011439562,-1.2926087,-0.87765986,-81.43221,-18.869564,5.2890143,-73.81038,1.7415133,-14.599689,11.67198,8.465098,-23.695272,-75.0248,0.83479506,-12.579725,-14.970047,-7.3797855,26.294842,-95.46145,-59.184998,43.046455,-0.20618093,-2.7495794,0.2432078,2176
4.4974837,15.09682,-21.294584,16.828274,-11.165501,-7.7237625,-2.0821266,0.7219052,1.400691,0.89554036,24.095016,-11.2054825,24.874588,-35.926758,1.858055,1.922928,0.96638614,25.695316,35.863434,28.139633,-25.874865,2.3911023,-1.5982832,-0.8911646,40.98139,29.054861,-17.261194,24.836391,44.091057,-8.182901,5.1716905,3.8203168,-1.4708016,37.944946,42.54275,-4.8721876,0.96686614,-0.6817872,1.8080436,60.16283,0.53077483,-38.728493,0.31255004,-0.7404425,-0.13064812,408
8.718353,-5.050939,3.868009,29.829527,24.8461,-1.5833206,-27.682804,0.8759304,-0.32609084,0.30781615,25.18724,10.908623,-45.34754,40.59028,-0.592359,0.5462713,0.8653029,22.261702,-9.599663,31.778046,-1.3034477,0.4024491,0.68934864,0.076725945,65.12915,45.631645,86.553314,54.132446,41.959827,101.99366,-9.961739,6.97973,2.8806922,57.151394,39.565865,102.28051,10.246548,-6.590903,-1.4533409,84.103615,55.369232,55.38576,2.6610498,-1.024968,-0.7474544,4090
-18.959534,-0.37206906,-3.7684886,17.349516,-44.01197,17.676247,18.286148,-1.651901,1.245264,0.88735056,11.998464,29.784325,-6.260456,-15.653812,-0.4859629,-1.0273631,-1.2333095,10.127533,-42.65095,-12.531998,-13.937801,0.10639409,0.937191,1.6531361,-108.5125,47.981567,40.579735,-114.23231,100.029625,99.22254,0.7256048,0.67406684,1.3675479,-90.61022,-72.56021,-90.42899,-1.324899,-0.39674234,-0.43972236,-120.69493,116.47528,112.94565,-2.9726052,1.168596,-0.10968073,2067
-18.224579,-17.166836,3.9353561,10.367565,3.122841,-24.092752,49.80767,-0.2750225,2.9622774,0.3247862,21.14404,-42.645664,3.7482605,-5.6729546,-1.2031474,-1.3282076,0.09129937,23.949484,-15.150909,-31.15601,-32.328648,0.11652121,-0.08640323,0.15928932,-1213.957,-17.136599,317.3861,-1406.6815,-133.5186,-76.24361,-0.21731067,-0.18390602,0.6776316,-1116.6714,36.556305,511.8087,3.5762064,1.9348521,-0.6176264,-1118.518,45.5525,516.59326,-4.127978,-1.6052707,0.6324193,50000
-3.7113647,23.228498,29.065853,21.451672,-5.4221992,25.171822,22.973045,-1.6435986,0.25602293,-0.99799347,23.88866,8.853222,26.182281,47.26191,0.9937562,0.2923747,1.2452453,11.671989,-14.565117,18.33139,16.9626,0.3513031,4.5198784,4.734556,-22.990795,199.86429,202.51031,-25.176594,212.12366,201.42734,0.050450854,1.8354506,-0.15411821,-12.732902,185.07217,201.7114,-0.58551574,0.001050679,-0.67102325,-31.06289,202.39702,204.3922,0.4700917,2.2133496,7.105583,3052
