m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
26.008558,35.720993,4.1530724,-44.357414,1.472355,0.15232354,-1.6690633,22.453663,21.206093,19.138062,23.415115,-0.7762122,-3.4649305,0.5962753,18.43247,23.62471,45.669327,9.775459,-1.4954321,-1.11169,-0.67534876,1304
20.899307,-27.42309,-15.703403,42.40838,0.8818614,1.3953553,1.3882667,25.461012,40.31185,-19.860012,28.377602,-1.0931207,-0.48278624,0.62347955,10.236517,-45.737816,-35.147488,-3.765644,1.0599592,2.6220489,0.83594966,1114
21.093174,-14.947193,-19.501865,43.404625,0.22885662,0.8252986,0.6944106,29.51529,32.62703,8.045364,-12.5355835,-0.44352233,2.237332,0.51996034,18.170605,-5.095459,45.519608,-49.31665,-0.3305299,0.2191489,0.2219522,2627
23.54888,32.90116,-28.704952,7.8013725,-1.0878607,-0.111206725,-0.50064546,21.483513,10.736446,32.536163,-18.486202,0.34675726,-2.0144928,1.8169397,16.810165,48.885895,-2.3848,-11.347492,2.3976927,1.1225405,0.77122927,10000
19.335909,49.704414,-25.858814,17.456604,0.8625751,-0.41430798,-0.4779863,19.08216,-29.522652,22.790154,18.819923,0.6289259,-2.3164346,-1.2824415,22.613075,14.907082,-14.678837,39.143204,-1.5895092,-1.7050819,-2.0008743,2368
11.580516,-12.800945,42.673843,4.844429,-1.6171813,-0.3039416,-2.1651936,27.40425,2.7640152,-11.659843,26.716705,-2.5745058,-0.16367865,0.08138561,14.843222,10.45327,-30.508972,5.6640434,-1.8353171,2.803454,-2.2221243,497
13.549895,-0.42570114,38.36612,-36.92148,0.21384569,-1.6030407,-2.0457678,22.818966,27.056686,47.202988,-43.118553,0.4688025,0.88010055,0.7522168,18.570473,-13.377827,18.18396,25.669495,-0.4048242,-0.035501402,0.57605743,10000
27.696823,27.84082,-26.872194,-47.017033,0.23790275,0.5794547,-1.1292888,26.14365,-2.6659431,32.87954,-14.174671,0.46271238,-1.2597547,-0.40763596,11.353969,9.611259,21.765427,17.744446,0.23463535,-3.0102253,-1.6877413,10000
23.987328,13.549782,-41.12072,32.652214,-0.13663282,0.34994534,0.61127037,24.654121,48.424927,-28.27257,38.59394,-2.464598,2.2289257,-0.99731547,27.990622,-15.43383,-36.715233,7.6777687,-2.1285808,-1.046061,-2.9649854,889
21.634237,33.14344,-38.72369,-16.229057,0.16899875,-0.47982883,-1.0214283,10.087797,-11.851658,9.331657,-31.103266,0.32451582,0.004077552,3.0580583,20.973425,-49.420536,-12.914692,-29.70708,-0.57460034,-1.8844954,-1.7894548,1448
19.601048,30.396538,11.441254,-20.262749,1.5950513,1.2383261,-1.0271282,26.282837,14.340988,20.664337,-0.7855339,-0.75803804,-2.4809952,-0.32592487,14.019953,18.301537,-33.059944,-34.11077,2.6309495,-1.1564219,1.9005084,9068
21.639431,-21.014929,18.196648,0.5867653,-3.3815808,0.21441984,-0.49900484,13.261844,-24.486702,-5.365383,-5.462311,-2.3021781,-3.2429366,1.840384,22.556051,-21.275246,36.170967,-31.955177,-2.747023,0.31128645,-1.7129421,369
23.370148,-35.63452,-27.826584,-7.610531,-3.3453436,-0.46677884,2.4055703,24.248999,-10.731922,-12.457039,-24.238682,-0.081282616,1.0180559,3.1283464,27.02452,-43.720955,35.159958,-36.68724,-0.5515799,-0.2629392,0.20879777,770
19.230753,3.879696,31.350838,1.8654823,-0.03133057,-0.7979582,0.84839463,10.199694,-8.522572,33.86177,-26.714182,1.5810947,1.9503412,-0.9615793,16.243763,-1.6285667,47.361824,22.75235,1.400108,-2.632602,0.18707149,10000
26.73652,31.841507,-33.6363,16.436478,-1.4129416,-1.2504342,-0.13809682,21.521948,36.627396,-7.087864,-29.836565,-2.9281063,-1.7141688,-0.8837948,16.962078,-49.425495,-4.342705,45.19043,0.5810735,2.3797662,-0.17701742,2935
20.288403,-7.0654335,30.418182,-35.07275,-1.6369609,-1.6962602,-0.36256385,10.188989,9.686394,-37.883324,-26.866167,-0.33448887,4.04502,-2.0479493,17.218292,9.114666,-42.603672,-22.926348,-3.2051353,0.33252716,0.5290966,61
21.02127,13.610504,24.049362,-15.97237,0.5164302,1.6507794,1.5852401,24.954193,33.399445,26.582344,26.790222,-1.7214603,0.7534485,-2.6217432,13.317081,4.773117,43.088326,13.235218,0.19440578,-0.27219945,-0.25650066,136
11.414107,32.037407,12.763851,-43.604862,0.11207013,0.40706843,-0.72987926,24.404297,16.559143,16.99479,-26.653648,0.33827147,0.51443815,-0.42660084,19.004923,24.625847,-17.913372,42.218826,-1.2804842,-1.190136,1.4145589,137
12.699377,-8.667786,41.4628,-40.52229,1.3459328,-1.9090698,-0.23587061,21.842373,12.418037,-32.595688,-48.46041,-1.2663484,-1.3463403,1.0885724,20.079332,-11.163986,15.002441,-21.46777,2.7320278,1.0108318,1.8410687,3529
29.875292,22.65773,9.712536,10.189732,0.534112,-1.6012688,3.908967,17.01719,27.096054,-41.27053,1.145546,-3.6065865,0.059556484,-0.6768017,29.321457,27.3862,13.892334,-0.6050949,-3.4395404,-2.325157,-4.053934,2391
22.998772,-41.323425,29.101677,19.485641,-1.3898611,0.5752368,0.24240065,15.065472,7.3466606,0.5879402,-12.905918,-0.6201092,-0.5134778,-0.54213953,23.503513,33.23252,-3.255825,-11.325329,2.9459143,1.1159873,1.9070268,4639
26.973198,-41.218693,-48.33607,32.58116,-1.3837984,-0.06848886,0.59514046,29.075485,-41.27958,46.23295,-1.8092918,0.66528034,1.9764142,-1.2510614,14.717939,47.03685,41.86785,-39.57656,1.4988319,0.9944512,0.98830694,10000
14.676176,41.227448,18.936295,6.562954,1.378984,-1.8886161,3.0333424,18.670626,34.210045,-0.418293,-26.557386,-2.7118602,-1.6453576,1.366511,22.151707,-19.351059,-17.848186,-6.652195,1.4749975,-1.8155289,1.1301883,227
24.712173,7.2458687,38.19973,39.16935,-2.4685898,-0.8084256,-0.7641259,27.17243,-39.52425,0.46993637,-21.11271,-1.5220166,2.6904514,1.0809299,28.130775,-28.012335,30.593567,32.837097,-3.0761845,1.931832,-0.6907769,1133
13.379884,-6.8076744,42.39702,24.108414,-1.5565977,-1.3301928,1.7785368,29.743778,-33.232212,22.319038,25.960304,1.9646368,-2.294722,1.1152029,16.513737,-29.142464,-29.100174,48.377975,-0.44546875,1.3997471,-0.8156047,10000
27.461735,-11.551804,26.814629,13.269543,1.7363424,0.13129163,0.66284424,15.642544,-18.932652,-11.580914,-32.501556,2.0213346,2.5372748,-0.31538105,11.056084,23.958878,34.81301,-8.91267,1.5610979,-0.8827985,0.89402014,306
26.603582,13.03273,8.034168,25.548523,-0.9515555,0.384396,0.8600835,26.217445,-15.618397,7.890564,-2.169056,-1.487699,1.6480792,-1.4995431,28.119532,-3.8565216,25.49321,-5.241394,3.3645773,0.30393982,-2.4916797,2188
12.749348,11.724884,-29.473745,18.29419,-0.1363674,1.3667248,0.059016332,27.373255,-48.868126,32.19381,39.91246,0.5815054,-0.2065484,0.5516064,13.1554985,2.7882652,-14.742546,-23.808647,-0.120450795,0.20665278,0.115326926,689
12.497231,32.414978,-12.798233,-12.874741,0.68530667,-0.1525256,1.8669213,15.182853,-38.453712,-37.458313,10.622513,0.43157014,-1.4098263,-0.9870271,15.498033,40.775223,-43.825573,-15.022816,1.691385,0.50620025,1.1287814,1363
14.406701,7.799263,35.077843,4.1757507,2.1973016,-0.94352746,1.6982114,27.554052,-30.057531,19.393044,-42.210155,-0.47319695,0.76724213,0.58998865,17.438717,16.735306,-37.583935,27.044434,-1.4459084,1.5381294,-1.49661,10000
11.992797,-22.349442,-38.620293,-36.26409,0.7815811,0.2951679,-0.3435712,16.758091,19.21074,15.4301605,-12.396992,-1.1923065,-1.3684349,1.2177587,12.698664,-42.5434,-42.69812,25.320557,0.89215666,-1.0894648,1.170015,6468
22.241562,26.023514,-49.14626,-44.14953,0.34989223,-1.7041217,0.8982347,11.136133,-22.188389,-10.11256,-23.425848,-1.4069327,0.4927624,-1.4650921,25.98589,-19.958317,-22.366322,37.55464,0.043795127,-0.075212084,0.052284367,10000
24.512373,-39.014,25.876144,-26.140272,0.29757336,1.4751705,1.4728994,29.609268,-46.031826,-48.24169,16.481766,-0.09124508,-0.78675926,1.1253268,16.348467,23.749123,-26.442856,37.93135,0.6682396,-1.6160774,-2.2814279,10000
23.016205,-35.882072,24.885406,42.838814,0.39106172,-0.7479956,2.0535676,16.93901,-19.469326,-46.79027,-40.94935,-0.8019916,2.0934947,1.6630212,19.125896,-29.87684,-5.6474915,-26.754915,1.0112164,-1.6478537,0.5651314,1503
10.042311,-19.042313,8.887024,-1.6841774,-2.0787156,-2.290663,0.21241981,23.897226,-18.008196,25.357368,21.71051,-1.8903689,3.0030642,0.8238034,21.995325,30.2277,-8.355568,16.33043,0.029918032,-0.18987611,-0.28553104,5568
