m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
16.616947,-38.497955,27.23983,26.994568,-0.13043499,1.7677813,1.6616373,27.357487,14.002975,-8.0553055,35.63243,-0.56984615,-1.1731756,-0.17195225,18.76716,-36.142117,41.76216,49.787086,0.7349237,0.73551726,-0.5502938,-39.418194,114.64208,123.813805,3.760056,0.0036265142,0.45306876,-39.556324,75.20669,113.94021,3.197704,13.56585,20.877598,-39.81832,73.83025,111.89479,-8.201893,-19.187996,-30.164803,7817
13.476586,-10.073177,-19.352436,-16.578377,-2.7462478,2.9470735,1.4912043,12.411809,7.8060226,-41.480682,-34.347523,-1.0628247,0.65642023,0.8667553,27.187521,-26.630527,19.149155,-27.582233,-0.2512449,-0.15179867,-0.31515956,-41.386864,38.694267,-41.045017,0.11301495,0.7314093,-2.2730298,-35.19699,3.6118581,-9.6514,-16.851799,7.6775126,13.606123,-34.375435,2.68815,-9.9656725,5.5395236,-2.2588274,-4.2651176,409
12.581137,43.506348,2.185135,-11.285473,0.13070393,3.5595608,-3.1926405,22.554237,43.345955,19.06739,-13.403938,0.106920585,0.059604414,-0.01444943,24.052298,-34.050644,16.15699,25.65844,-0.15145911,-0.25246912,-0.052487906,-102.49347,208.34575,-164.94188,0.0013207588,-0.030500986,-0.16482174,49.946903,408.14276,-405.25732,-0.4485058,1.7290782,-0.53532094,44.714485,376.1478,-394.5366,0.43705422,0.05992004,-1.1478417,10000
24.183064,-22.876137,-25.570822,-18.746626,2.8225732,-0.31178856,2.6160245,28.146538,-31.602245,7.363655,4.999138,-0.40754437,2.7878478,-2.6218488,22.69482,9.358448,20.26741,39.04885,-1.3449216,-0.18878031,1.73666,1.6439345,-22.368101,8.124921,2.467109,0.8857078,3.048467,-31.93847,29.148178,-18.35288,0.2504685,2.0207057,-2.2901576,-5.647537,16.999952,51.14804,-1.7822263,-0.5133809,0.8644914,185
23.977594,-4.0693817,8.905006,-26.186031,1.3573884,-2.3896203,2.2475147,28.620201,7.4003677,47.863457,-13.017185,1.0148712,-1.8698113,-0.7294929,12.322712,46.118454,-2.1794434,6.509697,-0.13763297,2.685521,-0.20154336,78.25707,-65.47935,32.61695,1.9477049,-0.15080464,2.2240908,84.78158,-30.999357,21.91755,1.2251137,-2.1373188,-0.22574808,-53.677727,14.1575165,-66.66401,-1.7745788,-1.0494797,-1.3259374,988
25.643635,1.0944557,37.21953,6.1063538,1.3921986,2.3856173,-2.340837,17.833652,8.897316,42.936165,18.865807,-3.7999249,-2.7280343,-1.3752902,12.748412,26.748924,28.94619,39.653473,2.127256,3.8907213,0.50933886,6.120227,44.521603,3.3926423,1.123136,1.5994602,0.47902757,-3.4342055,34.47981,8.344202,-3.0361369,-1.6815732,-4.9977074,32.648376,41.68175,40.236557,1.6000216,4.008201,-0.09549239,64
10.848728,-7.9652863,13.969017,14.181236,0.15878129,0.7330636,0.07431501,11.62767,37.90683,-37.963005,22.693321,-0.8860408,0.48035115,-0.90483236,14.668254,-11.296505,-11.311161,41.25302,-0.2750747,0.033337723,-0.05528419,-3.7643373,15.635397,28.728432,1.2067524,-0.94350684,0.84012574,-33.693676,24.5621,-8.910779,25.20469,3.372342,4.8878837,-35.605076,24.580063,-9.5027275,-21.732538,-1.0191722,-5.2136245,1813
19.739815,-12.193989,-35.794037,30.36174,1.8943094,2.8205507,-1.0818135,23.846966,6.983696,42.11962,39.277527,0.86097646,-1.3987416,-0.4848774,12.009712,-3.7399063,-46.548683,49.64351,3.251191,0.12587479,1.0250863,21.270687,-20.17762,46.314507,1.1045663,-1.597866,0.5364654,71.286545,24.166622,13.295196,2.1433086,0.011532149,0.8128298,61.860435,24.454588,22.252468,2.0030065,4.5879297,-4.211582,615
21.486847,-5.0957756,36.51007,1.8249741,-0.31613302,-0.8876352,-0.36784014,24.95912,49.668694,-12.888283,-34.74202,-0.029322095,-0.021196967,-0.14994617,18.633518,2.455799,10.943748,23.43824,-2.1205287,-2.0578475,-1.8934548,-328.4347,-419.85577,-378.46655,-1.5963792,0.6725783,0.19677494,-370.04388,-443.27182,-361.20624,-1.6733851,-1.7619829,-2.7184386,-324.67047,-441.21896,-359.97876,1.5579468,-1.525238,0.8959109,10000
26.713636,-15.894974,-47.21326,3.460167,0.87743753,1.0264131,-1.078592,19.194214,33.105347,5.174618,21.894821,0.99647045,3.2680836,4.1978664,16.614914,28.84066,-5.9839783,20.243187,-0.1011982,-1.2873487,-4.520233,-13.835043,-44.828186,1.1357601,0.99621326,1.1423858,-1.0345811,34.73397,10.918872,30.506912,0.6023932,2.257242,3.6639585,29.060822,-7.3503556,10.940663,0.16308722,-0.30604628,-3.9742017,44
