m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
28.660595,27.362617,-25.639803,-18.565678,-0.39344358,2.0433526,2.219088,21.079903,-41.596596,-23.695732,-23.577368,1.5373724,0.6605286,-2.1963692,19.925634,-36.507385,19.822906,47.930786,-0.15814131,0.15452899,-0.15075219,89
25.36453,-6.9492455,-4.2226334,43.353325,-1.885322,1.1727679,0.7084969,21.290342,-7.1578217,47.447044,-12.39341,-1.7200797,-2.3677354,0.055506058,20.691689,10.282742,0.39094162,28.199455,0.53219557,1.0775871,3.673211,22
21.327456,-6.804878,24.961182,1.6306953,0.25214,0.2294947,0.5216238,24.456839,-1.2692375,-27.841843,1.799202,0.22067691,-0.11859691,0.01951077,17.932957,-40.396626,49.707085,-26.267433,-2.2072947,-0.4314828,-2.0910401,23
26.714441,-29.605288,-3.1256905,33.726128,-0.19172378,-0.17246892,-0.12479937,22.049517,23.536537,37.707176,16.405914,0.64882106,0.7339482,0.21983166,21.559454,-26.87984,-47.476215,17.7957,-1.341933,0.96775013,-0.67141116,215
22.357904,-8.764206,-17.629807,45.993225,-1.3826141,0.34732988,-1.2606329,18.168644,35.821846,25.94963,6.545555,-1.0210875,1.0155816,-0.5033384,24.697697,18.311188,-12.571018,11.516399,-0.60875463,-1.6201811,-3.2243996,30
16.494205,37.214188,-6.815605,0.54673386,-1.395278,-0.35067996,-1.4761325,10.266573,-40.9702,14.896683,-21.396273,-0.63619095,0.1588004,-0.6718965,18.980211,-20.689219,-49.974297,-44.77677,0.28999352,-0.49183232,-0.4242283,38
27.83787,-42.39914,32.252815,3.263958,-1.2258073,1.9392153,-2.138871,25.024677,-41.673023,40.396294,45.58631,-0.46546134,-0.35061613,0.1711382,17.312588,8.271069,-18.57702,-27.588923,-2.0729916,0.011164999,1.6490619,1028
19.175901,-2.8713837,33.530197,38.653023,-2.512061,0.6450898,1.133299,28.734724,-34.63065,-37.070614,-45.176254,-0.37811747,-1.5640439,-0.53579754,14.249418,-39.841545,46.84433,37.612045,1.2743052,0.20408416,1.9028426,8
26.768732,-44.8589,-37.32537,-2.845955,-0.6211972,2.1131015,2.138628,19.243837,-4.3213654,49.93724,37.20965,0.08106929,-0.07099959,-0.013117621,28.196928,-0.91223145,6.4262466,-7.535713,0.14570788,2.8998663,0.067212634,240
16.62053,-43.91057,-12.351044,-29.037046,-0.91993237,0.1651516,-0.43546438,22.834328,-0.19301224,-29.254372,-5.6255646,-2.497539,-1.3862336,-1.2406487,22.788754,-19.383562,-46.614204,49.66607,0.45491314,-0.049124725,-0.4576704,66
16.375721,-47.26273,-34.851616,11.360382,1.2198862,1.6069455,0.24257357,20.11811,21.198975,0.0411644,3.6265373,1.6251725,1.5004609,0.66820943,27.40442,-3.3382874,13.081997,-8.1077385,-1.332112,-0.091265716,-2.313784,27
