m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
17.524082,16.342972,42.404533,-9.997635,0.09986054,-0.2568917,0.22042243,14.72735,-18.228924,-19.964653,21.083878,0.9756354,-0.75131154,0.98978096,19.356304,-2.3784828,-46.972157,49.280754,-1.8011069,0.027859688,-2.4066365,411
18.368765,38.680557,-41.52059,-7.76598,-2.9806046,1.8437247,3.1126153,14.961752,35.844734,-42.622208,-1.4723969,1.8645725,2.8496222,-1.3994403,10.034385,20.48397,7.213028,-44.83177,0.56668735,-1.2344011,-0.8579221,2
25.679989,-44.455803,-10.619717,47.89427,0.90415967,-0.47629413,0.5875211,19.359447,33.417183,-24.393314,-0.69052505,-0.23037745,-0.19847925,0.16048937,22.465042,26.7798,39.80342,34.50493,-1.0625081,-1.7158383,-0.8698087,31
17.050838,40.40985,45.20379,-44.259876,-0.08928108,2.4223976,-0.38176298,28.358145,8.744389,-27.021801,-11.333782,0.16383728,0.010653058,-0.8342883,15.209178,-47.22168,-1.5885239,-27.959984,0.060632844,0.007879023,-0.079592735,28
26.616001,25.383614,36.274696,-32.90921,-0.34796333,-2.837969,-0.8651948,12.449293,-22.950352,-12.168671,-29.18002,0.8315153,-3.6646323,-0.794857,29.918354,-40.196396,5.295925,-5.558014,-0.65358925,-1.7880764,0.8179977,13
15.856095,-23.139763,-26.69524,29.326874,0.4428481,-0.2259425,-0.022375675,10.434631,18.311356,-1.4687729,-42.109444,0.92110896,-0.42731553,2.1384456,10.912862,14.658813,-19.863188,-25.10625,-1.0380856,-1.319602,-1.1325142,184
26.593277,-12.552868,-29.302942,-9.803688,-0.7177474,0.80932504,-0.1297837,21.267029,25.166359,5.4123,43.010803,-1.3833756,-1.3586025,0.43964997,12.17908,-38.507484,23.918121,35.95394,0.22449796,-0.8712628,-2.101267,17
27.268261,43.964615,19.731308,-33.555176,-1.151411,-3.550557,-0.78120947,17.788857,16.772118,40.82094,0.8420067,-1.4287477,-1.5837816,1.4597701,29.203524,-10.235397,-9.384506,-46.800934,0.6477461,0.33668938,-0.17828451,215
10.837345,-3.876812,-49.220222,-41.86641,0.57016516,0.545882,0.9371228,17.555279,45.669563,36.41606,-6.20187,-0.031629656,0.24134189,-1.3393482,20.885668,-15.358711,-35.067314,-16.116028,-0.66679585,0.45453572,0.080888525,252
22.033144,48.470726,-25.236315,-27.623362,1.1763588,-1.0455884,-1.7950665,19.13331,20.263618,19.446724,-11.755814,-2.2943082,-0.16111392,-0.96604836,14.272498,-31.41216,-17.078209,33.121635,0.4847865,-0.47923335,-1.0171031,328
