m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,ticks
11.63232,-42.944515,-0.09751892,-30.540216,-1.219188,0.27001238,-1.6075789,16.163097,16.060661,-14.172276,29.36512,-0.2313722,0.25850448,0.75049984,25.849731,44.05333,-35.88459,29.848,1.0495635,1.4663204,-1.396649,2578
19.281296,-11.242931,-45.606483,23.383522,-0.2436347,-0.2765932,-0.5702963,21.273205,-11.313923,-25.325035,25.66069,1.1063628,2.3386626,3.061966,24.307652,-49.33904,49.877617,9.933662,-1.2161828,-1.366405,-1.7463301,992
16.348206,-27.272755,-2.527626,-20.22507,0.42595905,0.4776066,0.014468775,14.814379,31.510094,-3.291027,39.42031,-0.8496808,-0.5638145,0.69498444,29.021986,-19.088776,28.055862,16.640251,-2.3897636,-1.295958,-1.4938676,8749
19.14072,20.564857,-22.857403,-49.4817,0.12243666,-0.20781526,0.98525584,18.50596,21.078506,-37.16439,39.57637,-1.3046508,-1.0562057,1.7549872,24.84108,15.772789,18.475761,-21.364773,2.3891258,2.3316383,0.3380623,7897
26.885963,0.36460876,-1.9904022,-7.7075195,0.13320637,2.9872723,-0.6862545,22.850391,-26.86836,1.9637604,-17.690712,1.4365892,-1.2247972,-3.0240536,24.658707,27.16539,36.119766,19.95362,-0.51557016,-0.32358155,0.9343949,10000
24.094948,-6.2644196,-35.74436,33.05253,-0.9912526,-2.4963186,-0.34279525,17.101383,-26.485079,-17.343636,-48.475655,-1.3290076,-0.9034715,1.5548879,25.025072,-9.619934,34.080925,-9.0588875,-0.32653454,-1.0649828,-0.79500866,745
16.211527,3.038128,15.103935,26.664482,-1.016355,0.38805676,-2.1846538,20.820366,-11.988949,14.106712,42.612823,-1.6696911,-0.8306174,-1.5526934,27.76489,12.885082,4.485386,-47.614937,0.34647095,-2.4026995,0.17003022,82
12.2507305,20.114326,-0.7119484,42.699295,-0.8165078,-0.0920788,0.26010007,22.731857,-14.1588745,-39.667202,0.99526596,-0.27180618,1.448151,-2.3541086,21.157593,28.992584,-15.923012,0.8407669,-0.40626442,0.3787388,-0.4195943,247
24.616745,13.788319,9.872234,22.368492,-2.1808605,0.29145432,-0.79782104,25.827745,31.680527,-11.704254,-24.047607,-1.4894915,0.23082256,0.7292609,22.165737,-26.638443,14.006683,28.227112,1.1369972,-0.43145847,3.9836597,10000
13.503181,23.181465,46.95549,-37.12449,-1.3399915,0.6668993,-1.1511666,18.146198,-16.511581,27.74356,36.17531,0.7963673,-1.5524632,1.6800005,18.504904,31.802795,2.57016,39.793,0.185927,0.0492455,1.2878993,6541
19.989025,-25.144804,-8.561539,-46.595978,-0.9114766,0.8245898,1.4531734,24.01588,-22.720844,36.663345,-46.13211,-1.2558615,-0.53170776,1.1210488,21.203194,-25.408655,17.70697,20.186874,1.223783,0.61470693,0.5187985,114
10.816956,-42.908478,-38.863983,28.819695,1.2075865,-1.6950434,1.2543947,19.878538,8.803963,-33.505234,14.753822,-1.3523558,-1.1316195,1.249263,10.439042,41.84845,-11.638004,-36.767006,0.73832065,0.73237336,-0.51173127,5741
19.90463,41.148186,39.723274,46.05941,-1.0329397,0.18500616,-0.8725495,29.164991,43.179596,-12.308704,-17.62178,2.0168066,-0.73744035,-0.21400782,26.062653,42.053535,-9.965645,38.084755,-2.7377093,-1.5351944,2.749558,10000
18.72617,1.2970505,26.08432,-44.195843,-0.20507142,0.14872928,0.3252498,17.145916,-37.140644,8.594925,-11.212761,2.8029037,-1.5822692,1.70642,19.286844,-47.76513,-9.976906,33.567802,-0.93716407,-0.9385296,-1.6224316,10000
26.647106,-4.2137375,-16.154625,43.34143,-1.3827878,1.153467,-0.09553422,15.5037155,27.909126,-23.725187,5.63628,-0.08395011,-0.21215959,0.18230377,16.251577,-3.3748283,49.517082,-41.92845,0.79952943,0.9142856,1.070715,10000
28.193985,-28.019005,-0.5769386,-19.880508,0.3378185,-0.47800985,-0.10689997,12.488116,-36.903877,-17.200382,28.59832,0.14980392,1.5317388,-1.4276246,13.820467,-38.6325,41.977127,-2.96278,-3.1045115,0.28089377,0.09984398,10000
29.296076,26.816467,26.531952,5.35968,-1.8833332,1.9439812,-1.0653,12.4454,42.78337,-45.020603,27.759003,-0.77199,0.006583204,0.9201751,16.697258,4.1705246,26.241821,-18.31112,2.2179456,-0.5817704,-3.2363093,98
